Name,Cycle_Number,Total_10Day_Quantity,Max_Stock,Utilization_Rate,GroupName,Stock_Class,Storage Unit,Family,Site,Item Id,Demanded,Delivered,satisfaction_rate (%),Weekend,Month,Date_week,days_since_start,Inventory_Cycle,Cycle_Start_Day,Cycle_End_Day
MENTOS ROLLS FRUIT FLAVOUR,0,40.0,80.0,0.5,Epicerie,D,PC (1 PC),SOLIDES,Economat,15248,1,1,77.41935483870968,0,2024-01,lundi,0,1,0,9
MENTOS ROLLS MENTHE,0,40.0,80.0,0.5,Epicerie,D,PC (1 PC),SOLIDES,Economat,15244,1,1,70.0,0,2024-01,lundi,0,1,0,9
MENTOS ROLLS RAINBOW,0,40.0,120.0,0.333,Epicerie,D,PC (1 PC),SOLIDES,Economat,15246,1,1,46.42857142857143,0,2024-01,lundi,0,1,0,9
MENTOS ROLLS STRAWBERRY,0,40.0,80.0,0.5,Epicerie,D,PC (1 PC),SOLIDES,Economat,15245,1,1,77.14285714285715,0,2024-01,lundi,0,1,0,9
MENTOS ROLLS TUTTI FRUTTI,0,40.0,80.0,0.5,Epicerie,D,PC (1 PC),SOLIDES,Economat,15247,1,1,87.87878787878788,0,2024-01,lundi,0,1,0,9
MIRA 0,6L,0,144.0,8621.0,0.017,Eaux et Sodas,A,PC,LIQUIDES,Economat,10711,2,2,80.97982708933718,0,2024-01,lundi,0,1,0,9
NOIX DE CAJOU GRILLES SALEES 65GR,0,12.0,96.0,0.125,Fruits Secs,B,PC (1 PC),SOLIDES,Economat,13020,1,1,77.0,0,2024-01,lundi,0,1,0,9
NUTELLA 600GR,0,18.0,114.0,0.158,Pâtisseries,B,PC (1 PC),SOLIDES,Economat,12718,1,1,70.85714285714285,0,2024-01,lundi,0,1,0,9
OEUFS,0,4.0,83.0,0.048,Beurre Oeuf Fromage,A,PC (30 PC),SOLIDES,Economat,12720,1,1,76.55719139297848,0,2024-01,lundi,0,1,0,9
ORANGE A JUS,0,340.55,2117.05,0.161,Jus Fruit Lait,A,KG (1 KG),LIQUIDES,Economat,12727,7,7,79.17023096663816,0,2024-01,lundi,0,1,0,9
ORANGINA BOITE 24 CL,0,73.0,347.0,0.21,Eaux et Sodas,A,BTE (1 BTE),LIQUIDES,Economat,15710,3,3,65.52901023890784,0,2024-01,lundi,0,1,0,9
PAILLE ENVELOPPE 7.5MM COLORE,0,5.0,47.0,0.106,Consommable,B,SCH (50 PC),CONSO/HYG,Economat,16120,1,1,58.16993464052288,0,2024-01,lundi,0,1,0,9
PAILLE ENVELOPPE 7.5MM NOIR,0,5.0,33.0,0.152,Consommable,B,SCH (100 PC),CONSO/HYG,Economat,16119,1,1,42.63565891472868,0,2024-01,lundi,0,1,0,9
PAIN CHAWARMA *10,0,8.0,115.0,0.07,Boulangerie_R,A,PQT (10 PC),SOLIDES,Economat,15356,2,2,94.3089430894309,0,2024-01,lundi,0,1,0,9
PAIN DE MIE CEREALE,0,26.0,130.0,0.2,Boulangerie_R,B,PC (1 PC),SOLIDES,Economat,13630,1,1,75.93984962406014,0,2024-01,lundi,0,1,0,9
PAIN DE MIE NATURE,0,52.0,130.0,0.4,Boulangerie_R,B,PC,SOLIDES,Economat,13633,1,1,80.26315789473685,0,2024-01,lundi,0,1,0,9
PAIN HAMBURGER AC,0,60.0,836.0,0.072,Boulangerie_R,A,PC (1 PC),SOLIDES,Economat,13623,2,2,85.33501896333755,0,2024-01,lundi,0,1,0,9
PAIN SANDWICH CI GUSTA,0,145.0,777.0,0.187,Boulangerie_R,A,PC (1 PC),SOLIDES,Economat,12474,1,1,59.800664451827245,0,2024-01,lundi,0,1,0,9
PAPIER ALUM DE 100,0,1.0,9.0,0.111,Consommable,B,PC (1 PC),CONSO/HYG,Economat,12741,1,1,79.6116504854369,0,2024-01,lundi,0,1,0,9
PAPIER CUISSON 40*60,0,1.0,4.0,0.25,Consommable,C,PC (500 PC),CONSO/HYG,Economat,12742,1,1,85.5072463768116,0,2024-01,lundi,0,1,0,9
PAPRIKA DOUX,0,2.0,3.0,0.667,Fruits & Legumes Frais,C,KG (1 KG),SOLIDES,Economat,13489,2,2,55.319148936170215,0,2024-01,lundi,0,1,0,9
PAPRIKA FORT,0,1.0,3.0,0.333,Epicerie,C,KG,SOLIDES,Economat,15314,1,1,65.9090909090909,0,2024-01,lundi,0,1,0,9
PATE PIZZA PANCROCCHINO 12/40,0,99.0,520.0,0.19,Boulangerie_R,A,PC (1 PC),SOLIDES,Economat,12476,1,1,54.91803278688525,0,2024-01,lundi,0,1,0,9
PATE SPAGHETTI,0,12.0,74.0,0.162,Epicerie,B,PC,SOLIDES,Economat,12841,1,1,93.47826086956522,0,2024-01,lundi,0,1,0,9
PIMENT FORT,0,4.7,78.95,0.06,Legumes Frais,A,KG,SOLIDES,Economat,13862,1,1,82.5925925925926,0,2024-01,lundi,0,1,0,9
PIMENT ROUGE SALLE,0,5.0,20.0,0.25,Legumes Frais,B,KG,SOLIDES,Economat,12756,1,1,73.45132743362832,0,2024-01,lundi,0,1,0,9
POIVRE NOIR MOULU,0,1.0,3.0,0.333,Epicerie,B,PC (1 KG),SOLIDES,Economat,13068,1,1,60.86956521739131,0,2024-01,lundi,0,1,0,9
RED BULL,0,58.0,609.0,0.095,Eaux et Sodas,A,PC (1 PC),LIQUIDES,Economat,12799,2,2,84.55882352941177,0,2024-01,lundi,0,1,0,9
RISTRETTO NSPRS,0,50.0,6800.0,0.007,Cafe,A,PC (1 PC),LIQUIDES,Economat,16341,1,1,84.55696202531645,0,2024-01,lundi,0,1,0,9
ROQUETTE SALADE KG,0,1.0,4.35,0.23,Legumes Frais,C,KG,SOLIDES,Economat,12801,1,1,48.333333333333336,0,2024-01,lundi,0,1,0,9
ROULEAU CAISSE 80*80,0,50.0,205.0,0.244,Fournitures de Bureau,A,PC (1 PC),FOURNITURE DE BUREAU,Economat,12802,2,2,74.3859649122807,0,2024-01,lundi,0,1,0,9
ROULEAU TPE,0,20.0,286.0,0.07,Fournitures de Bureau,A,PC (1 PC),FOURNITURE DE BUREAU,Economat,12804,1,1,71.74721189591078,0,2024-01,lundi,0,1,0,9
