Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Inventory_Cycle,Max_Stock
MARINADE POULET GRILLE 2KG PB,8.0,PC (1 KG),Volaille Surgelée,mardi,2024-01,A,1,12.0
SAUCE MAYONNAISE PESTO PB,2.0,L (1 L),Epicerie,mardi,2024-01,A,1,5.0
SAUCE PESTO PB,1.0,KG (1 KG),Epicerie,mardi,2024-01,A,1,2.0
LOT CAFE EN GRAINS ( BARISTA N°3 ),4.0,PC (1 KG),Cafe,mardi,2024-01,A,1,9.0
COCA BOITE ZERO,20.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,166.0
FANTA BOITE 24CL,17.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,120.0
MENTHE SECHE,0.12,KG (1 KG),Epicerie,mardi,2024-01,D,1,2.0
OIGNONS ROUGE,10.5,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,25.9
COURGE,4.45,KG (1 KG),Legumes Frais,mardi,2024-01,B,1,19.0
OEUFS,4.0,PC (30 PC),Beurre Oeuf Fromage,mardi,2024-01,A,1,10.0
PIECE RONDE BOEUF,5.55,KG (1 KG),Viandes Surgelées,mardi,2024-01,D,1,12.65
AIL,2.3,KG (1 KG),Legumes Frais,mardi,2024-01,B,1,7.45
GOBLET 9 PLAN B,1000.0,PC (1 PC),Consommable,mardi,2024-01,B,1,2000.0
ORANGINA BOITE 24 CL,10.0,BTE (1 BTE),Eaux et Sodas,mardi,2024-01,A,1,72.0
GARCI GAZ P.E.T 1 L,25.0,L (1 GR),Eaux et Sodas,mardi,2024-01,A,1,103.0
GOBLET 6.5 PLAN B,1000.0,PC,Consommable,mardi,2024-01,B,1,2000.0
CAKE MARBRE PBC,44.0,PC (1 PC),Viennoiserie,mardi,2024-01,A,1,220.0
MUFFINS VANILLE,24.0,PC,Viennoiserie,mardi,2024-01,B,1,72.0
"FRITE SURGELE 9/9 CLASSIC 2.5 KG,40.0,""KG (2,5 KG)"",Legumes Surgelés,mardi,2024-01,A,1,60.0"
MAY 0.5L,156.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,1680.0
