Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Cycle,Max_Stock
MIRA 1L,1749.0,PC (1 PC),Eaux et Sodas,mercredi,2024-07,A,22,1848.0
MIX A CREPE FRANCAISE,120.0,SAC,Pâtisseries,mardi,2024-07,B,22,150.0
MOELLEUX CHOCOLAT,72.0,PC (1 PC),Viennoiserie,lundi,2024-08,C,22,108.0
MOUTARDE DIJON 840 GR,5.0,BTE (840 GR),Epicerie,mercredi,2024-07,B,22,25.0
MUFFINS VANILLE,72.0,PC,Viennoiserie,vendredi,2024-08,B,22,96.0
Muffin daily'n,624.0,PC,Pâtisseries,mercredi,2024-07,A,22,1109.0
NOIX DE CAJOU GRILLES SALEES 65GR,12.0,PC (1 PC),Fruits Secs,mardi,2024-07,B,22,96.0
NUGGETS PANE PB,150.0,PC (1 PC),Volaille Surgelée,jeudi,2024-08,A,22,275.0
NUTELLA & GO 52 GR,48.0,PC (1 PC),Epicerie,samedi,2024-08,C,22,192.0
OEUFS,76.0,PC (30 PC),Beurre Oeuf Fromage,mercredi,2024-07,A,22,83.0
OIGNONS BLANC,76.3,KG,Legumes Frais,mardi,2024-07,A,22,127.3
OIGNONS ROUGE,85.5,KG (1 KG),Legumes Frais,mercredi,2024-07,A,22,119.4
OLIVE DENOYETE,14.0,KG,Legumes Frais,mercredi,2024-07,B,22,35.0
OLIVE NOIRE SLICE,14.0,KG (1 KG),Legumes Frais,lundi,2024-08,B,22,35.0
OLIVE VIOLETTE,6.0,KG (1 KG),Legumes Frais,mercredi,2024-07,C,22,14.0
ORANGE A JUS,1828.85,KG,Jus Fruit Lait,mardi,2024-07,A,22,2117.05
ORANGINA BOITE 24 CL,72.0,BTE (1 BTE),Eaux et Sodas,jeudi,2024-08,A,22,347.0
PACK FOOD BOWL + COUVERCLE 1.2 L,100.0,PC (1 PC),Consommable,lundi,2024-08,B,22,175.0
PAIN AU CHOCOLAT PUR BERRE GF SURG.,1000.0,PC (1 PC),Viennoiserie,mardi,2024-07,B,22,4400.0
PAIN CHAWARMA *10,67.0,PQT (10 PC),Boulangerie_R,mardi,2024-07,A,22,115.0
PAIN CIABATTA NATURE,400.0,PC,Boulangerie_R,mercredi,2024-07,A,22,6590.0
PAIN DE MIE CEREALE,52.0,PC,Boulangerie_R,samedi,2024-08,B,22,130.0
PAIN DE MIE NATURE,104.0,PC (1 PC),Boulangerie_R,mercredi,2024-07,B,22,130.0
PAIN HAMBURGER AC,430.0,PC (1 PC),Boulangerie_R,mardi,2024-07,A,22,836.0
PAIN MACDO  GRAINS SESAME,800.0,PC,Boulangerie_R,mercredi,2024-07,A,22,4290.0
PAIN ROND FARINE,600.0,PC,Boulangerie_R,mercredi,2024-07,A,22,3480.0
PAIN SANDWICH CI GUSTA,336.0,PC,Boulangerie_R,mercredi,2024-07,A,22,777.0
PAIN SCHNECK AUX RAISINS SURG PUR BEURRE GF,150.0,PC (1 PC),Viennoiserie,mardi,2024-07,B,22,1200.0
PAIN SHNEK AU RAISIN MARGARINE,100.0,PC (1 KG),Pâtisseries,mardi,2024-07,C,22,700.0
PALETTE A GLACE,800.0,PC (1 PC),Consommable,vendredi,2024-08,C,22,2000.0
PAPIER SERVIETTE GOURMANDISE,78.0,PC (1 PC),Consommable,mardi,2024-07,B,22,128.0
PASTEQUE,78.55,KG (1 KG),Fruits & Legumes Frais,mardi,2024-07,B,22,129.85
PATE PIZZA FOCACCIA 12/40,68.0,PC (1 PC),Boulangerie_R,mercredi,2024-07,A,22,170.0
PATE PIZZA FOCACCIA D32 CM,20.0,PC,Boulangerie_R,mardi,2024-08,C,22,50.0
PATE PIZZA FOCCACIA 30/40,14.0,PC,Boulangerie_R,mercredi,2024-07,B,22,136.0
PATE PIZZA PANCROCCHINO 12/40,180.0,PC (1 PC),Boulangerie_R,vendredi,2024-08,A,22,520.0
PATE PLUME COURTE,11.0,PC (1 KG),Epicerie,mercredi,2024-07,B,22,58.0
PATE SPAGHETTI,11.0,PC (1 PC),Epicerie,mercredi,2024-07,B,22,74.0
PECHES,26.55,KG (1 KG),Fruits & Legumes Frais,mardi,2024-07,A,22,27.5
PEPITTE DE DECORATION NOIRE KG,2.45,KG (1000 GR),Epicerie,mardi,2024-07,D,22,8.5
PILLE AA,12.0,PC (1 GR),Fournitures de Bureau,mardi,2024-07,D,22,20.0
PIMENT DOUX,38.9,KG (1 KG),Legumes Frais,vendredi,2024-08,A,22,97.3
PIMENT FORT,51.4,KG,Legumes Frais,mercredi,2024-07,A,22,78.95
POCHETTE CROISSANT CRAFT 11*5*28,2000.0,PC (1 PC),Consommable,jeudi,2024-08,D,22,3000.0
POMME (FRUIT),17.35,KG (1 KG),Fruits & Legumes Frais,mardi,2024-07,A,22,22.15
POMME DE TERRE,222.7,KG (1 KG),Legumes Frais,mardi,2024-07,A,22,292.25
POT NUTELLA 3 KG,25.0,POT (3 KG),Epicerie,jeudi,2024-08,C,22,31.0
POUDRE TENDERS PB,42.0,KG (1 KG),Volaille Surgelée,jeudi,2024-08,B,22,42.0
POULET PANE AMANDE PB,5.0,PQT (40 PC),Volaille Surgelée,jeudi,2024-08,A,22,350.0
PRUNES,8.585,KG (1 KG),Fruits & Legumes Frais,mardi,2024-07,C,22,18.8
PUNCH CIDRE 30CL,1044.0,PC (1 PC),Eaux et Sodas,mardi,2024-07,C,22,1310.0
RAME PAPIER A4,4.0,PC (1 PC),Fournitures de Bureau,mardi,2024-07,B,22,23.0
RED BULL,395.0,PC (1 PC),Eaux et Sodas,mardi,2024-07,A,22,609.0
REMANENT HERBE CF,1.0,PC (1 PC),Hygiène,mardi,2024-07,B,22,10.0
RIZ EN PAQUET,10.0,PC,Epicerie,vendredi,2024-08,C,22,35.0
ROULEAU CAISSE 80*80,205.0,PC (1 PC),Fournitures de Bureau,mardi,2024-07,A,22,205.0
ROULEAU TPE,230.0,PC (1 PC),Fournitures de Bureau,mardi,2024-07,A,22,286.0
SAC A POUBELLE GEANT BLANC,1350.0,PC (1 PC),Hygiène,mardi,2024-07,A,22,2075.0
SAC BOUTIQUE GDISE HD 40/35 BLANC,500.0,PC,Consommable,jeudi,2024-08,D,22,1000.0
SAC BOUTIQUE GDISE HD 50/45 BLANC,500.0,PC,Consommable,jeudi,2024-08,D,22,1000.0
SAC GROUPAGE DB,3000.0,PC,Consommable,mardi,2024-07,B,22,6000.0
SAC SANDWICH,3000.0,PC (1 PC),Consommable,mercredi,2024-07,C,22,7500.0
SAC SANDWICH DAILY BREAK,4000.0,PC (1 PC),Consommable,mardi,2024-07,B,22,10000.0
SACHET BRETELLE GM,500.0,PC (1 PC),Consommable,samedi,2024-08,B,22,1000.0
SACHET BRETELLES 38X60 MF,25.0,PC,Consommable,jeudi,2024-08,B,22,225.0
SALADE LAITUE TUN,319.95,KG,Legumes Frais,mardi,2024-07,A,22,393.7
SANIT SURF,27.0,PC (1 PC),Hygiène,mardi,2024-07,A,22,51.0
SAUCE BARBECUE PB,10.0,KG,Epicerie,samedi,2024-08,D,22,15.0
SAUCE PLAN B 5KG,10.0,SEAU (1000 GR),Epicerie,mercredi,2024-07,B,22,25.0
SAVON LIQ OXY'SOAP 1L,3.0,L,Hygiène,mercredi,2024-07,A,22,12.0
SEL FIN DE TABLE,5.0,PC (1 KG),Epicerie,vendredi,2024-08,B,22,23.0
SEMOULE FINE,25.0,KG (1 KG),Epicerie,vendredi,2024-08,B,22,145.0
SERPILLERE,77.0,PC (1 PC),Hygiène,mardi,2024-07,A,22,122.0
SERVIETTE 30*30 CIGUSTA,48.0,PC,Consommable,mercredi,2024-07,B,22,192.0
