Site,Item Id,Name,Physical Storage Quantity,Storage Unit,Family,GroupName,From,To,Delivery date,Date_week,Month,Week_iso,Demanded,Delivered,Cycle,DispatchFlag,flow,Stock_Class_x,Stock_Class_y,Stock_Class,satisfaction_rate (%),days_since_start,Inventory_Cycle,Max_Stock,Weekend
Economat,12822,SAUCE BARBECUE,1.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,C,C,C,41.7910447761194,0,1,10.0,0
Economat,12718,NUTELLA 600GR,18.0,PC (1 PC),SOLIDES,Pâtisseries,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,B,B,B,70.85714285714285,0,1,48.0,0
Economat,16224,EMBALLAGE EN CARTON 30*12*6,150.0,PC (1 PC),CONSO/HYG,Consommable,ECONOMAT PB,PLAN B,2024-01-01,lundi,2024-01,1,1,1,1,1,ECONOMAT PB → PLAN B,D,D,D,48.57142857142857,0,1,300.0,0
Economat,15710,ORANGINA BOITE 24 CL,26.0,BTE (1 BTE),LIQUIDES,Eaux et Sodas,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,65.52901023890784,0,1,72.0,0
Economat,12576,CHOCOLAT EN POUDRE,12.0,"PC (0,2 KG)",LIQUIDES,Cafe,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,79.57559681697613,0,1,12.0,0
Economat,12799,RED BULL,55.0,PC (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,84.55882352941177,0,1,96.0,0
Economat,12634,FANTA BOITE 24CL,49.0,PC (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,89.79099678456592,0,1,120.0,0
Economat,13138,GARCI GAZ P.E.T 1 L,44.0,L (1 GR),LIQUIDES,Eaux et Sodas,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,84.48471121177803,0,1,103.0,0
Economat,15027,MAY 0.5L,985.0,PC (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,87.152133580705,0,1,1680.0,0
Economat,15710,ORANGINA BOITE 24 CL,23.0,BTE (1 BTE),LIQUIDES,Eaux et Sodas,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,65.52901023890784,0,1,72.0,0
